time,inbound,processed,dropped,blacklisted_count
0,135.3914989304754,135.3914989304754,0.0,0
1,140.9588809934783,140.9588809934783,0.0,1
2,111.74808323205029,111.74808323205029,3129.5060901947795,1
3,119.2826467535137,119.2826467535137,3109.7106596824956,1
4,115.8007953473544,115.8007953473544,2872.2297456383913,1
5,117.18584727805425,117.18584727805425,3357.0960853427378,1
6,131.47108809549337,131.47108809549337,2726.287106422412,1
7,118.19797058402159,118.19797058402159,3403.7116499181298,1
8,123.94308352222093,123.94308352222093,3200.2554611642213,1
9,132.84211435381238,132.84211435381238,2861.586820307153,1
10,117.33537274217586,117.33537274217586,3417.8348041099266,1
11,127.12899418566197,127.12899418566197,3159.3956385054976,1
12,122.78691617831241,122.78691617831241,3205.416632769292,1
13,121.5675929282219,121.5675929282219,3065.659200796181,1
14,117.84089067095871,117.84089067095871,3005.8973035496947,1
15,130.70636363420536,130.70636363420536,3314.465451078769,1
16,134.41712152397622,134.41712152397622,3140.8893278505375,1
17,127.77856946169311,127.77856946169311,2921.0021050119235,1
18,135.8787726395496,135.8787726395496,3071.469979345794,1
19,122.33946095398649,122.33946095398649,3090.285470768048,1
20,115.18394073331736,115.18394073331736,3334.4313573832223,1
21,134.3624462342069,134.3624462342069,3449.620841224512,1
22,132.99128125444375,132.99128125444375,3483.690973859868,1
23,131.59422036685692,131.59422036685692,2960.7230445043847,1
24,133.73425342416058,133.73425342416058,3073.836041626483,1
25,124.56625331834788,124.56625331834788,3447.6310545571287,1
26,126.6040430009824,126.6040430009824,3077.4364054456073,1
27,134.56824421998346,134.56824421998346,3260.1420518708987,1
28,129.84135709643112,129.84135709643112,2978.292726737694,1
29,128.3121118050998,128.3121118050998,3150.4277673923475,1
30,127.6201263063166,127.6201263063166,3318.3287277877207,1
31,134.6337400576579,134.6337400576579,0.0,0
32,148.05912591774378,148.05912591774378,0.0,0
33,151.1338677286679,151.1338677286679,0.0,0
34,138.48050450764944,138.48050450764944,0.0,0
35,138.1346681010287,138.1346681010287,0.0,0
36,148.37455021837027,148.37455021837027,0.0,0
37,145.9003478338556,145.9003478338556,0.0,0
38,140.5523208753972,140.5523208753972,0.0,0
39,144.27373206290255,144.27373206290255,0.0,0
40,139.5354940170365,139.5354940170365,0.0,0
41,138.96370240282198,138.96370240282198,0.0,0
42,139.40619273555686,139.40619273555686,0.0,0
43,140.2135495093613,140.2135495093613,0.0,0
44,139.30637275369327,139.30637275369327,0.0,0
45,135.78149930845632,135.78149930845632,0.0,0
46,143.44119347759724,143.44119347759724,0.0,0
47,137.67499381461607,137.67499381461607,0.0,0
48,142.3766939596009,142.3766939596009,0.0,0
49,152.63450902220035,152.63450902220035,0.0,0
50,126.0123977660393,126.0123977660393,0.0,0
51,143.74754092469476,143.74754092469476,0.0,0
52,143.33245451228396,143.33245451228396,0.0,0
53,140.1630859209165,140.1630859209165,0.0,0
54,141.14207367942979,141.14207367942979,0.0,0
55,140.6722447094536,140.6722447094536,0.0,0
56,141.59044433666887,141.59044433666887,0.0,0
57,134.69473933721136,134.69473933721136,0.0,0
58,137.8782937900831,137.8782937900831,0.0,0
59,131.44959439142661,131.44959439142661,0.0,0
60,142.20228089664099,142.20228089664099,0.0,0
61,135.46889848345927,135.46889848345927,0.0,0
62,139.00328205839213,139.00328205839213,0.0,0
63,133.81942695055358,133.81942695055358,0.0,0
64,135.410170520294,135.410170520294,0.0,0
65,134.31255540567165,134.31255540567165,0.0,0
66,140.52968193582115,140.52968193582115,0.0,0
67,141.89148135504107,141.89148135504107,0.0,0
68,129.5915370788444,129.5915370788444,0.0,0
69,139.5673621675331,139.5673621675331,0.0,0
70,132.09203384824457,132.09203384824457,0.0,0
71,134.7263755567875,134.7263755567875,0.0,0
72,135.34452467308222,135.34452467308222,0.0,0
73,136.38810144314735,136.38810144314735,0.0,0
74,132.35014679858313,132.35014679858313,0.0,0
75,136.31295766319388,136.31295766319388,0.0,0
76,136.49366277960883,136.49366277960883,0.0,0
77,129.80078620429936,129.80078620429936,0.0,0
78,135.22634795182913,135.22634795182913,0.0,0
79,140.04818404891253,140.04818404891253,0.0,0
80,139.9174059547218,139.9174059547218,0.0,0
81,137.1676590694208,137.1676590694208,0.0,0
82,137.97135062987394,137.97135062987394,0.0,0
83,127.55448790253304,127.55448790253304,0.0,0
84,137.30968314165614,137.30968314165614,0.0,0
85,130.37352039844808,130.37352039844808,0.0,0
86,133.0183733733498,133.0183733733498,0.0,0
87,129.9415499103821,129.9415499103821,0.0,0
88,136.9369340136297,136.9369340136297,0.0,0
89,137.82024075827815,137.82024075827815,0.0,0
90,126.9224623610676,126.9224623610676,0.0,0
91,128.72722759830742,128.72722759830742,0.0,0
92,125.89389950526248,125.89389950526248,0.0,0
93,128.0952778423822,128.0952778423822,0.0,0
94,130.46769779286188,130.46769779286188,0.0,0
95,131.33949996250757,131.33949996250757,0.0,0
96,134.51075748397824,134.51075748397824,0.0,0
97,126.23762576828744,126.23762576828744,0.0,0
98,129.8371043110285,129.8371043110285,0.0,0
99,124.29416209031326,124.29416209031326,0.0,0
100,129.4767116878814,129.4767116878814,0.0,0
101,126.45082023306263,126.45082023306263,0.0,0
102,123.45800887781469,123.45800887781469,0.0,0
103,131.6785827770181,131.6785827770181,0.0,0
104,122.72962184087626,122.72962184087626,0.0,0
105,133.77943913332314,133.77943913332314,0.0,0
106,115.61574592576912,115.61574592576912,0.0,0
107,125.81760510054602,125.81760510054602,0.0,0
108,127.6210521499384,127.6210521499384,0.0,0
109,129.04755790848765,129.04755790848765,0.0,0
110,122.72378015728296,122.72378015728296,0.0,0
111,124.35171371844282,124.35171371844282,0.0,0
112,126.45875648110726,126.45875648110726,0.0,0
113,117.24401706688344,117.24401706688344,0.0,0
114,123.16022620424937,123.16022620424937,0.0,0
115,116.6219107838474,116.6219107838474,0.0,0
116,118.13565888894966,118.13565888894966,0.0,0
117,114.16489082797493,114.16489082797493,0.0,0
118,107.39622505012565,107.39622505012565,0.0,0
119,118.73515006226323,118.73515006226323,0.0,0
120,115.07247142408873,115.07247142408873,0.0,0
121,106.61899965008483,106.61899965008483,0.0,0
122,119.77414203227764,119.77414203227764,0.0,0
123,121.79782049693063,121.79782049693063,0.0,0
124,117.65549357037546,117.65549357037546,0.0,0
125,111.49701429390541,111.49701429390541,0.0,0
126,123.20774098960642,123.20774098960642,0.0,0
127,112.14870042126005,112.14870042126005,0.0,0
128,111.21569343613417,111.21569343613417,0.0,0
129,127.84538477949884,127.84538477949884,0.0,0
130,115.40788715020899,115.40788715020899,0.0,0
131,116.64320905955033,116.64320905955033,0.0,0
132,116.55991841159992,116.55991841159992,0.0,0
133,113.09883443860177,113.09883443860177,0.0,0
134,122.67432216145478,122.67432216145478,0.0,0
135,112.39573781741635,112.39573781741635,0.0,0
136,119.51864312371887,119.51864312371887,0.0,0
137,119.32505581953295,119.32505581953295,0.0,0
138,120.9449966038858,120.9449966038858,0.0,0
139,118.66836547546093,118.66836547546093,0.0,0
140,119.6480647921482,119.6480647921482,0.0,0
141,112.06951898193093,112.06951898193093,0.0,0
142,116.17239329269411,116.17239329269411,0.0,0
143,114.53087956833525,114.53087956833525,0.0,0
144,120.88060598757451,120.88060598757451,0.0,0
145,123.22732099560862,123.22732099560862,0.0,0
146,120.79836567791337,120.79836567791337,0.0,0
147,111.38095845947778,111.38095845947778,0.0,0
148,120.71256032179944,120.71256032179944,0.0,0
149,121.54345563177205,121.54345563177205,0.0,0
150,128.29072857330596,128.29072857330596,0.0,0
151,113.96653879061105,113.96653879061105,0.0,0
152,125.17280447366255,125.17280447366255,0.0,0
153,113.69404938112267,113.69404938112267,0.0,0
154,121.7528096312079,121.7528096312079,0.0,0
155,128.64653040338672,128.64653040338672,0.0,0
156,118.09794411409602,118.09794411409602,0.0,0
157,114.59031278914321,114.59031278914321,0.0,0
158,107.58534757108839,107.58534757108839,0.0,0
159,115.4092494894848,115.4092494894848,0.0,0
160,131.97062739860144,131.97062739860144,0.0,0
161,122.65142342409239,122.65142342409239,0.0,0
162,121.98190655952753,121.98190655952753,0.0,0
163,128.1929898312315,128.1929898312315,0.0,0
164,115.9882294282952,115.9882294282952,0.0,0
165,116.0614818868879,116.0614818868879,0.0,0
166,125.82022224599473,125.82022224599473,0.0,0
167,123.81062562964073,123.81062562964073,0.0,0
168,125.52182073426202,125.52182073426202,0.0,0
169,116.65750635818159,116.65750635818159,0.0,0
170,125.47651762886227,125.47651762886227,0.0,0
171,128.81153891325795,128.81153891325795,0.0,0
172,119.91051678090027,119.91051678090027,0.0,0
173,132.3593504413484,132.3593504413484,0.0,0
174,130.3959855555186,130.3959855555186,0.0,0
175,131.26732394789332,131.26732394789332,0.0,0
176,128.06665292337533,128.06665292337533,0.0,0
177,124.02432364534694,124.02432364534694,0.0,0
178,134.04847433635774,134.04847433635774,0.0,0
179,125.16713442290387,125.16713442290387,0.0,0
180,131.73211369419246,131.73211369419246,0.0,0
181,121.02377208015547,121.02377208015547,0.0,0
182,121.17697808747545,121.17697808747545,0.0,0
183,137.31953951436714,137.31953951436714,0.0,0
184,133.57703081947534,133.57703081947534,0.0,0
185,128.56333316092133,128.56333316092133,0.0,0
186,131.2209515913811,131.2209515913811,0.0,0
187,134.4100381838207,134.4100381838207,0.0,0
188,134.70868936209018,134.70868936209018,0.0,0
189,132.58267180590877,132.58267180590877,0.0,0
190,125.20942435402009,125.20942435402009,0.0,0
191,137.05232475843604,137.05232475843604,0.0,0
192,141.5288643597464,141.5288643597464,0.0,0
193,133.11654501734927,133.11654501734927,0.0,0
194,136.76963023352462,136.76963023352462,0.0,0
195,138.19712601972043,138.19712601972043,0.0,0
